"";"sp_01";"sp_02";"sp_03";"sp_04";"sp_05";"sp_06";"sp_07";"sp_08";"sp_09";"sp_10";"enviro";"enviro2";"env";"site"
"21";9;0;2;8;0;1;0;0;0;0;-0,043135656875297;0,0315296925019808;10,3725675726309;1
"211";10;0;0;10;0;0;0;0;0;0;-0,0394323480510023;0,0207331167768516;13,7434453703463;2
"212";0;0;0;0;0;8;0;0;12;0;0,0283361905879621;-0,00786220246438816;75,4286769079044;3
"213";1;0;0;1;0;10;0;0;7;1;0,014495492307712;-0,0280615812943436;62,8304020268843;4
"214";1;1;1;2;3;11;0;0;1;0;-0,0203675329092192;-0,0197048279581485;31,0968893114477;5
"215";12;0;0;8;0;0;0;0;0;0;-0,0433405422997361;0,0321549477086155;10,1860738825053;6
"216";0;0;0;0;0;9;0;0;11;0;0,0394292339919049;0,0179765994980404;85,5259427567944;7
"217";8;2;2;6;0;2;0;0;0;0;-0,0493211505205845;0,0516967266530801;4,74232062697411;8
"218";0;0;0;0;0;11;0;0;9;0;0,0158632185169035;-0,0266606523955684;64,0753529965878;9
"219";0;0;0;0;0;8;2;1;8;1;0,0223061558974969;-0,0183056728015959;69,9399339966476;10
"2110";0;0;0;0;0;10;0;0;10;0;0,0302194393738721;-0,00408067902321662;77,1428740816191;11
"2111";0;0;0;0;0;9;0;0;11;0;0,0530527737400245;0,0614570061996204;97,9265525471419;12
"2112";0;0;0;0;0;9;0;1;10;0;0,0151836691024038;-0,0273730132961851;63,4568039793521;13
"2113";4;0;1;4;0;10;0;1;0;0;-0,0185554381844367;-0,0222286169177297;32,7463196357712;14
"2114";1;0;0;0;1;9;1;1;7;0;0,00411439727316791;-0,0344396843062372;53,381175827235;15
"2115";7;2;1;8;0;2;0;0;0;0;-0,0316476191926413;0,0011576037273283;20,8293706644326;16
"2116";0;0;0;0;0;6;1;0;13;0;0,0481006269681695;0,0441537967652089;93,4189399238676;17
"2117";4;0;3;5;2;5;1;0;0;0;-0,0182627647202371;-0,0226147462539295;33,0127209890634;18
"2118";0;1;1;1;1;10;1;0;5;0;-0,000170340180007313;-0,0348799439302541;49,481061892584;19
"2119";0;0;0;0;0;7;0;3;9;1;0,0482714077650925;0,0447220315292871;93,5743904206902;20
"2120";0;0;0;0;0;9;0;1;9;1;0,0376236447498568;0,0131858472359115;83,8824339443818;21
"2121";2;2;1;1;2;8;0;0;4;0;-0,0207887998718262;-0,0190852867481088;30,7134377770126;22
"2122";0;0;1;0;0;11;0;0;8;0;0,0115282458819333;-0,0306521123731498;60,1295132888481;23
"2123";0;0;0;0;0;8;0;0;12;0;0,0533015736477087;0,062371477071504;98,1530186953023;24
"2124";0;0;0;1;0;9;1;0;9;0;0,0211161541909206;-0,0200669041298423;68,8567539211363;25
"2125";0;0;0;0;0;8;1;0;10;1;0,0279101557892454;-0,00868334831295071;75,0408855266869;26
"2126";8;2;1;8;0;1;0;0;0;0;-0,0375969900614953;0,0157369797599976;15,4140507103875;27
"2127";0;0;0;1;1;7;1;0;10;0;0,000402355784669019;-0,0348952640766169;50,0023492611945;28
"2128";0;0;0;0;0;8;0;1;11;0;0,0496048516224444;0,0492287427237662;94,7881364263594;29
"2129";0;0;0;0;0;7;1;0;11;1;0,0415579502521155;0,0239168799339778;87,463572784327;30
"2130";10;0;3;7;0;0;0;0;0;0;-0,0545124858901921;0,0706828836037475;0,0169903971254826;31
"2131";0;0;0;1;0;11;0;0;8;0;-0,00160246242409081;-0,0347414680204575;48,1774954590946;32
"2132";12;0;0;8;0;0;0;0;0;0;-0,0472239610666637;0,0445599823769552;6,65125388186425;33
"2133";4;3;1;6;1;5;0;0;0;0;-0,0301240233544744;-0,00217886674325462;22,2161994781345;34
"2134";0;0;0;0;0;8;2;0;10;0;0,0275776686233753;-0,00931539062073568;74,7382443863899;35
"2135";0;0;0;0;0;11;0;1;8;0;0,00857184381171347;-0,0326222126686827;57,4384954525158;36
"2136";0;0;0;1;0;10;0;0;9;0;0,00921021106259884;-0,0322484388150863;58,019559062086;37
"2137";0;2;0;1;3;10;0;0;4;0;-0,00151276433385703;-0,0347543420111711;48,2591417152435;38
"2138";0;0;0;0;0;8;1;0;10;1;0,0544519312427506;0,0666557994542718;99,2001133505255;39
"2139";0;0;0;0;1;10;0;1;8;0;0,011995015361634;-0,0302853210693902;60,554382763803;40
"2140";0;0;0;0;0;7;2;0;11;0;0,0479136890145933;0,0435341356181077;93,2487826328725;41
"2141";0;0;0;0;2;7;1;0;10;0;0,0146514609793731;-0,0279084198440909;62,9723700229079;42
"2142";0;0;0;0;1;10;0;0;9;0;0,00859346888176637;-0,0326100161469455;57,4581793276593;43
"2143";0;0;0;0;0;11;0;0;9;0;0,0124533524770093;-0,0299103635720306;60,9715768136084;44
"2144";10;0;0;7;0;3;0;0;0;0;-0,038441121842973;0,0180056502764262;14,6456932183355;45
"2145";0;0;0;0;0;5;1;0;14;0;0,0475213822663214;0,0422416466020926;92,8916916716844;46
"2146";0;0;0;2;0;9;0;0;9;0;0,0279898779891238;-0,00853065373680012;75,1134513877332;47
"2147";8;0;1;10;0;1;0;0;0;0;-0,0421142427533595;0,0284563092489496;11,3022934878245;48
"2148";4;2;2;6;4;2;0;0;0;0;-0,0183652740023404;-0,0224801839954225;32,9194135498255;49
"2149";8;3;0;9;0;0;0;0;0;0;-0,0467926468988749;0,0431302654292815;7,04385072458535;50
"2150";11;1;0;8;0;0;0;0;0;0;-0,0440657000013464;0,0343914626600864;9,52601064927876;51
"2151";0;0;0;0;0;11;0;1;7;1;0,00684316645891389;-0,0334916277219596;55,8649944607168;52
"2152";9;2;2;7;0;0;0;0;0;0;-0,0401578686192294;0,0227729182173895;13,0830518435687;53
"2153";0;0;0;0;0;10;0;0;10;0;0,0184054103647201;-0,0237099793352117;66,3893425837159;54
"2154";0;0;0;0;1;10;0;0;9;0;0,00951965463796589;-0,0320570227225539;58,3012251416221;55
"2155";0;0;0;0;0;8;0;2;9;1;0,0438243144101914;0,0305887763381117;89,5264946157113;56
"2156";11;0;1;8;0;0;0;0;0;0;-0,0514517362114893;0,0592613669248739;2,80298897996545;57
"2157";8;1;0;9;0;2;0;0;0;0;-0,0350329160981844;0,00915070219796703;17,747958144173;58
"2158";7;2;1;5;0;5;0;0;0;0;-0,0285378099524531;-0,00548037048200949;23,660024930723;59
"2159";4;4;3;6;1;1;1;0;0;0;-0,0303251454893835;-0,00174771542290671;22,0331312622875;60
"2160";0;0;0;0;1;9;1;1;8;0;0,016268677990604;-0,02622026795348;64,4444160163403;61
"2161";0;0;0;0;0;9;0;0;10;1;0,0216595035417754;-0,0192749917327942;69,3513290025294;62
"2162";0;0;0;0;0;5;1;0;14;0;0,04448351385248;0,032596658562325;90,1265203952789;63
"2163";0;0;0;0;0;9;1;0;10;0;0,0361481550594286;0,00943983923831367;82,5393929844722;64
"2164";0;0;0;0;0;11;0;0;9;0;0,0233950048384245;-0,0166075843290403;70,9310413803905;65
"2165";0;0;0;0;0;9;0;1;9;1;0,0445837097000307;0,0329045036267122;90,2177220676094;66
"2166";8;2;0;10;0;0;0;0;0;0;-0,0400093414757684;0,0223523443010474;13,218246307224;67
"2167";9;0;1;9;1;0;0;0;0;0;-0,0368906482959515;0,0138768376181703;16,0569870378822;68
"2168";6;3;0;8;1;2;0;0;0;0;-0,0301391997020512;-0,00214643121935266;22,202385449782;69
"2169";7;0;1;6;1;5;0;0;0;0;-0,0233618533386796;-0,0150324077421283;28,3713568933308;70
"2170";0;0;0;1;0;10;0;0;9;0;0,0160574750138572;-0,0264510945956247;64,2521718749776;71
"2171";8;0;1;6;3;2;0;0;0;0;-0,0266809801379166;-0,0091220912870179;25,3501746570691;72
"2172";2;0;4;2;2;7;0;0;3;0;-0,018663579905393;-0,0220844314441264;32,6478853588924;73
"2173";0;0;0;0;0;8;0;0;11;1;0,0158547666612232;-0,0266697102213058;64,0676598297432;74
"2174";0;0;0;0;0;11;0;0;8;1;0,0303493738109977;-0,00381064766465839;77,2611448308453;75
"2175";4;0;3;8;1;3;0;1;0;0;-0,0194152093994373;-0,0210597380909216;31,9637265987694;76
"2176";0;0;0;0;0;9;0;0;10;1;0,0322113014334018;0,00018821852975564;78,9559347555041;77
"2177";0;0;0;0;1;8;0;2;8;1;0,0193255820147333;-0,0225308052971035;67,2269141534343;78
"2178";0;0;3;1;2;8;1;1;4;0;0,00150999802406576;-0,034859962573874;51,0105629451573;79
"2179";0;0;0;0;0;9;0;0;11;0;0,0334870784287528;0,00306786031202472;80,1171904196963;80
"2180";0;0;0;0;1;7;1;1;10;0;0,0450170315029639;0,0342439213091065;90,6121463282034;81
"2181";0;0;0;0;0;11;0;0;9;0;0,00218133784354557;-0,0347969009343844;51,621639309451;82
"2182";0;1;0;2;1;10;0;0;6;0;-0,00405778309320821;-0,0341710636363635;45,9425789769739;83
"2183";3;4;2;3;5;3;0;0;0;0;-0,0230613475215908;-0,0155295664922495;28,6448875209317;84
"2184";0;0;0;0;0;10;0;1;9;0;0,036832985914916;0,0111596138326494;83,1627493491396;85
"2185";6;0;1;7;1;5;0;0;0;0;-0,0263251415869573;-0,00979251391127606;25,6740710232407;86
"2186";0;0;0;0;3;10;0;0;7;0;-0,000398165087580939;-0,0348674867811563;49,2736879037693;87
"2187";0;0;0;0;0;9;1;0;10;0;0,0197323136446669;-0,0219907619455706;67,59713513311;88
"2188";10;1;1;7;0;1;0;0;0;0;-0,0494827326513277;0,0522593242213295;4,59524306934327;89
"2189";0;0;0;0;0;7;1;1;9;2;0,0508992356484862;0,053722106243632;95,9663288434967;90
"2190";9;0;2;9;0;0;0;0;0;0;-0,0528603766932704;0,0644366706661182;1,52079644612968;91
"2191";0;0;0;0;0;11;0;0;8;1;0,0548744163638868;0,0682524599669187;99,5846736943349;92
"2192";8;0;0;12;0;0;0;0;0;0;-0,0517249505249074;0,060254325858767;2,55430000834167;93
