"";"sp_01";"sp_02";"sp_03";"sp_04";"sp_05";"sp_06";"sp_07";"sp_08";"sp_09";"sp_10";"sp_11";"sp_12";"sp_13";"sp_14";"sp_15";"sp_16";"sp_17";"sp_18";"sp_19";"sp_20";"enviro";"enviro2";"env";"site"
"21";3;2;4;4;8;8;0;4;6;0;0;1;0;0;0;0;0;0;0;0;-0,0377096610152973;0,0147066184482958;16,0725384484977;1
"211";0;0;0;0;0;0;1;0;1;0;4;0;1;5;7;5;7;4;4;1;0,030968333449048;-0,00143975654553341;78,7454146659002;2
"212";0;0;0;0;0;0;0;0;0;0;1;0;3;4;8;5;8;6;3;2;0,0418278916513968;0,0260723413225214;88,6554266326129;3
"213";0;0;0;0;1;0;2;1;1;1;2;1;5;1;5;5;4;1;7;3;0,0211326204776082;-0,0192727219172123;69,7697241790593;4
"214";5;3;8;6;10;3;0;4;0;1;0;0;0;0;0;0;0;0;0;0;-0,0529581608957079;0,0628373060928305;2,15734839439392;5
"215";2;2;14;11;5;2;0;1;2;0;1;0;0;0;0;0;0;0;0;0;-0,0544432873297873;0,0683900248936048;0,802079564891756;6
"216";0;0;0;2;0;2;2;2;2;0;1;3;2;3;6;4;6;4;0;1;0,0217632142780748;-0,0183314529714625;70,345179643482;7
"217";1;6;6;7;10;3;0;3;4;0;0;0;0;0;0;0;0;0;0;0;-0,046883580601152;0,0417235987427675;7,70077495835721;8
"218";0;1;2;4;2;4;2;4;3;1;3;4;2;0;4;3;0;0;1;0;-0,00358515452361732;-0,0343590481637767;47,2132406197488;9
"219";0;0;0;0;0;0;0;0;2;0;2;6;7;5;5;4;0;0;4;5;0,0264351705347153;-0,0104954504240289;74,608625867404;10
"2110";5;3;4;9;9;3;0;0;3;2;1;1;0;0;0;0;0;0;0;0;-0,0496437198424983;0,0509987106039012;5,1819788524881;11
"2111";1;3;7;7;10;8;0;2;0;0;2;0;0;0;0;0;0;0;0;0;-0,0419304825937166;0,0264091377452099;12,2207802487537;12
"2112";6;0;1;5;7;8;0;4;4;3;0;1;0;0;1;0;0;0;0;0;-0,0287964159719502;-0,00593108826414405;24,2064204532653;13
"2113";0;0;0;0;0;0;0;0;1;0;1;1;3;4;7;1;7;9;5;1;0,0438292974417024;0,0320387534019975;90,481831994839;14
"2114";0;1;0;2;3;2;3;5;6;1;5;4;3;1;2;0;0;1;0;1;-0,00458719148071172;-0,034073554230536;46,2988205254078;15
"2115";1;0;0;0;1;0;1;3;3;4;2;7;6;7;0;4;1;0;0;0;0,00562903950883359;-0,03370766345179;55,6217570090666;16
"2116";0;0;0;0;0;0;0;0;0;0;3;3;1;6;2;6;5;5;7;2;0,0376226845488292;0,0144446473447584;84,8179175984114;17
"2117";0;0;0;0;0;0;0;1;1;0;2;1;2;3;5;5;6;5;7;2;0,049514594800437;0,0505084076095352;95,6700140377507;18
"2118";1;2;4;3;7;6;2;2;1;6;0;3;2;0;1;0;0;0;0;0;-0,0235872095304535;-0,0154317561937552;28,9601403754205;19
"2119";0;0;0;0;1;1;3;5;4;0;4;4;5;4;2;4;0;2;1;0;0,00819542695456006;-0,0324738654501824;57,9637427348644;20
"2120";0;0;0;1;0;0;2;1;3;3;5;8;7;0;4;2;0;2;2;0;0,0170425868748023;-0,0247057380993745;66,0373180173337;21
"2121";0;0;0;0;1;0;0;1;1;1;0;0;2;1;5;2;8;1;11;6;0,0507891845349788;0,0549579112054534;96,8331552343443;22
"2122";0;0;0;0;0;1;1;2;0;4;2;4;6;3;3;5;4;0;3;2;0,0297884145925839;-0,0039345469506903;77,6686664437875;23
"2123";0;1;4;1;3;2;3;5;3;1;4;3;3;2;3;1;0;0;1;0;-0,00948534741480695;-0,0316720478775695;41,8289532419294;24
"2124";4;1;3;7;7;5;1;5;4;2;0;0;0;1;0;0;0;0;0;0;-0,0358144431877004;0,00985546428303927;17,802040791139;25
"2125";1;0;2;9;3;7;0;5;3;4;3;1;0;0;0;0;2;0;0;0;-0,0311581870062959;-0,0010012371095563;22,0511597348377;26
"2126";0;0;0;0;0;0;0;1;3;1;0;2;5;3;4;8;3;4;5;1;0,0286466019541353;-0,0062564909815587;76,6266924794763;27
"2127";0;0;0;0;0;0;0;0;1;0;1;0;1;6;4;6;7;3;5;6;0,0486825463313375;0,0476647970553413;94,9107188498601;28
"2128";2;0;7;5;3;5;3;7;4;0;2;0;0;0;1;0;0;0;1;0;-0,0333071604967956;0,00382184124826421;20,0900898082182;29
"2129";3;4;1;11;4;5;1;4;4;1;1;0;0;0;0;0;1;0;0;0;-0,0307542988253983;-0,0018718195605392;22,4197324365377;30
"2130";0;0;0;0;0;0;0;1;1;1;1;1;4;6;4;5;5;1;7;3;0,0296162448128531;-0,00429047542490366;77,5115509750322;31
"2131";0;1;0;4;4;5;0;3;5;4;1;5;2;3;2;0;0;0;1;0;-0,0152532351929176;-0,0267027117298511;36,5654023829848;32
"2132";0;0;0;2;2;3;4;7;2;3;1;2;3;3;6;1;0;0;1;0;-0,00553922857441026;-0,03373755072627;45,4300283687189;33
"2133";0;0;0;0;0;0;0;0;1;0;1;1;1;3;5;5;3;4;11;5;0,0511351484416268;0,0561851622470951;97,1488684881479;34
"2134";1;4;11;0;8;6;0;4;2;0;2;1;1;0;0;0;0;0;0;0;-0,0336250307364969;0,00456255197571122;19,8000137461349;35
"2135";0;3;2;6;5;7;1;9;4;0;2;0;1;0;0;0;0;0;0;0;-0,0271228813125282;-0,00918928014501099;25,7336233276874;36
"2136";1;9;9;4;5;6;1;2;0;2;1;0;0;0;0;0;0;0;0;0;-0,0550582382318347;0,0707342090420437;0,24089920334518;37
"2137";7;1;8;8;5;5;2;1;1;0;1;1;0;0;0;0;0;0;0;0;-0,051796402299471;0,0586006590847804;3,21752426680177;38
"2138";0;0;1;1;2;2;3;2;4;2;1;7;3;5;3;3;0;0;1;0;0,00905755532800708;-0,0319565084131029;58,750487677753;39
"2139";1;0;1;1;4;0;0;7;5;1;6;5;3;0;4;0;0;0;0;2;-0,000355038712479852;-0,0348035138552308;50,1609191298485;40
"2140";10;1;5;10;6;4;1;1;0;0;0;1;0;1;0;0;0;0;0;0;-0,0550327122147395;0,0706363805150049;0,264193257316947;41
"2141";0;0;0;0;0;0;0;0;2;0;0;1;4;2;2;6;8;0;11;4;0,0523320444498064;0,0604952354434148;98,2411094009876;42
"2142";1;5;8;5;6;3;0;7;1;2;1;1;0;0;0;0;0;0;0;0;-0,0367445334667025;0,012204953582463;16,9532764470205;43
"2143";0;0;0;0;0;0;1;1;1;0;5;7;4;5;2;2;3;2;5;2;0,0255870988303789;-0,012030752186659;73,8347084959969;44
"2144";2;5;7;7;7;4;2;3;1;1;0;0;0;0;1;0;0;0;0;0;-0,0437557647036632;0,0318539948062384;10,5550985317677;45
"2145";0;11;6;8;7;2;0;2;1;2;0;0;0;0;0;1;0;0;0;0;-0,0493091554265727;0,0498462004934275;5,48728937283158;46
"2146";0;0;0;0;0;1;1;1;3;1;0;3;2;8;3;6;5;3;1;2;0,0293518084134035;-0,00483312894454979;77,2702365648001;47
"2147";0;0;0;0;0;0;0;0;1;1;1;2;1;4;6;4;2;8;9;1;0,0421500136928925;0,0270137938904792;88,9493827242404;48
"2148";3;3;4;10;3;5;0;4;2;4;0;2;0;0;0;0;0;0;0;0;-0,0392125270607062;0,018731237048864;14,7010811371729;49
"2149";0;0;0;0;0;0;0;0;0;0;0;0;3;2;3;8;10;2;6;6;0,0509596911352539;0,0555617144715689;96,9887529499829;50
"2150";0;1;0;0;3;0;1;5;5;3;0;5;3;2;4;2;3;2;1;0;0,00421237086991762;-0,0341923204693538;54,3289601104334;51
"2151";4;2;4;4;1;3;5;5;5;3;1;0;1;0;2;0;0;0;0;0;-0,0309899066788937;-0,00136534604650647;22,204725840129;52
"2152";2;5;8;5;11;2;0;5;2;0;0;0;0;0;0;0;0;0;0;0;-0,0419543870701624;0,0264789464596516;12,1989659499377;53
"2153";0;0;0;0;0;0;0;2;2;1;2;3;4;6;5;8;3;2;1;1;0,0211455408818645;-0,0192537137960606;69,7815148392692;54
"2154";1;0;3;2;8;2;1;5;3;4;4;3;2;1;0;1;0;0;0;0;-0,0148182618060493;-0,0271582074074918;36,962342238985;55
"2155";0;0;0;0;1;1;0;1;4;2;3;5;3;6;2;5;3;2;2;0;0,0185849029592635;-0,0227937692679653;67,4447759054601;56
"2156";0;0;1;1;0;6;4;7;8;3;0;2;5;2;0;0;0;1;0;0;-0,011762045264918;-0,0299872217958549;39,7513270145282;57
"2157";1;0;2;2;3;1;1;6;4;4;2;5;4;1;3;1;0;0;0;0;-0,00936882195505048;-0,0317485733093591;41,9352898607031;58
"2158";0;1;1;2;1;1;1;4;4;6;1;3;6;2;1;2;1;1;1;1;-0,00301735609989772;-0,0344897954760838;47,7313914569095;59
"2159";1;5;7;5;4;3;2;7;3;2;0;0;1;0;0;0;0;0;0;0;-0,0439264493404524;0,0323750093077473;10,399338346906;60
"2160";0;0;0;2;4;1;0;6;1;2;5;4;3;2;3;2;0;3;1;1;0,00744995135560225;-0,0328795049875034;57,2834505932406;61
"2161";1;1;4;5;0;4;2;6;5;8;0;3;1;0;0;0;0;0;0;0;-0,0155517357079446;-0,0263825068331461;36,2930023809895;62
"2162";0;6;4;4;8;5;1;2;4;2;2;0;0;1;1;0;0;0;0;0;-0,0254670305419153;-0,0122211477589057;27,2446885704994;63
