"";"site";"env";"sp_01";"sp_02";"sp_03";"sp_04";"sp_05";"sp_06";"sp_07";"sp_08";"sp_09";"sp_10";"enviro";"enviro2"
"1";"1";50,9101070696488;0;1;2;3;5;3;2;2;2;0;0,000202687942097633;-0,0158142670688406
"2";"10";8,55721482075751;2;12;6;0;0;0;0;0;0;0;-0,0157776517817307;0,002951413184285
"3";"100";2,5182074168697;3;10;5;0;2;0;0;0;0;0;0,00788975159823263;-0,0104417704815352
"4";"101";83,7004007538781;0;0;0;0;0;2;2;5;7;4;-0,0221210988424874;0,0216084677879981
"5";"102";76,4835693640634;0;0;0;1;0;2;0;7;5;5;-0,0245430191934699;0,0304119173720677
"6";"103";30,1479527261108;1;7;6;4;0;0;1;0;0;1;-0,0112040593366075;-0,00654842023813905
"7";"104";50,7245874498039;0;0;1;4;3;7;2;2;1;0;-0,00109665820071904;-0,0157982273409223
"8";"105";13,5228517465293;3;8;8;0;0;1;0;0;0;0;-0,0179651191609614;0,00866556259166084
"9";"106";62,5746326521039;0;0;0;1;4;4;4;2;4;1;0,0102119418803746;-0,00697914948953731
"10";"107";3,10456634033471;7;6;7;0;0;0;0;0;0;0;-0,0206479813566461;0,0167079584347038
"11";"108";29,3666160665452;2;6;8;1;3;0;0;0;0;0;-0,0121111670842987;-0,00492749590604011
"12";"109";40,8006561920047;0;2;2;7;3;5;1;0;0;0;0,00931169084951333;-0,00842283097295578
"13";"11";25,8976066252217;3;5;6;0;5;1;0;0;0;0;0,0164158362131474;0,00645794921100828
"14";"110";67,9003237048164;0;0;0;0;4;5;2;1;5;3;0,00892102850546515;-0,00900939938618358
"15";"111";40,7976821763441;0;0;2;3;5;7;3;0;0;0;0,00992455649667123;-0,00745395313385488
"16";"112";9,60192582570016;3;8;6;0;2;1;0;0;0;0;0,0142260144258686;0,00101927610063012
"17";"113";39,3458974082023;0;2;2;4;5;2;5;0;0;0;-0,0191315968746055;0,0120223069568381
"18";"114";8,61884523183107;4;7;9;0;0;0;0;0;0;0;-0,0208947284598438;0,0175048434171256
"19";"115";92,4052207963541;0;0;0;1;0;0;0;5;6;8;-0,0234180235792957;0,0262071876589615
"20";"116";4,50429890770465;3;6;7;2;2;0;0;0;0;0;-0,0239261804469107;0,0280816417956705
"21";"117";18,6954730655998;1;6;9;0;3;1;0;0;0;0;-0,0166482225327811;0,00513479888364745
"22";"118";1,26725125592202;1;7;9;3;0;0;0;0;0;0;0,0217143970234271;0,0227578902053641
"23";"119";56,7184343934059;1;2;0;1;3;3;5;1;3;1;-0,0113071210552589;-0,00637081632623646
"24";"12";69,4127562223002;0;0;1;2;4;2;0;5;3;3;-0,00179125600648083;-0,0156800354666611
