"";"sp_01";"sp_02";"sp_03";"sp_04";"sp_05";"sp_06";"sp_07";"sp_08";"sp_09";"sp_10";"enviro";"enviro2";"env";"site"
"21";0;1;6;1;5;4;3;0;0;0;-0,00607195152246646;-0,0341553430370653;44,7995727881789;1
"211";0;0;0;1;7;4;1;4;3;0;0,00620423581191266;-0,0338320274243143;56,0905264923349;2
"212";1;5;8;3;2;1;0;0;0;0;-0,034336040463883;0,00557826619840279;18,8038372201845;3
"213";0;2;4;6;3;5;0;0;0;0;-0,0267083696191758;-0,0107053251924629;25,8193442365155;4
"214";0;0;1;3;5;4;5;0;2;0;0,00534997619316841;-0,0341992142309041;55,3048260509968;5
"215";3;11;4;1;0;1;0;0;0;0;-0,0487985818748171;0,0477390204971891;5,50199674908072;6
"216";0;2;3;4;4;4;1;1;1;0;-0,00650731520825807;-0,0339713085499038;44,3991495063528;7
"217";4;10;6;0;0;0;0;0;0;0;-0,0524638570394093;0,0607711136550606;2,1308806957677;8
"218";0;0;0;0;2;7;1;4;5;1;0,0173770342917583;-0,0242826243911054;66,3666445529088;9
"219";0;0;0;1;1;2;1;8;3;4;0,0361300565776064;0,0115706700790214;83,6146304849535;10
"2110";0;0;0;1;0;3;0;8;4;4;0,035040294582802;0,00880720372895972;82,6123280683532;11
"2111";0;3;2;4;5;3;1;1;1;0;-0,0113849395520072;-0,0309939958589762;39,9129821686074;12
"2112";0;0;0;0;0;2;0;7;9;2;0,0356847944084271;0,0104314170882991;83,2051031291485;13
"2113";9;5;4;0;1;1;0;0;0;0;-0,0487731198801621;0,0476518086656293;5,52541527431458;14
"2114";3;8;5;0;3;1;0;0;0;0;-0,0397657450944217;0,0196741761009944;13,8098971685395;15
"2115";4;8;5;0;2;0;1;0;0;0;-0,0331568401428107;0,00279228120220603;19,8884000303224;16
"2116";0;7;3;4;2;4;0;0;0;0;-0,0275874304679194;-0,0090382722225487;25,0108330044895;17
"2117";2;7;9;1;0;0;1;0;0;0;-0,0429087613377731;0,0287855129457909;10,919125797227;18
"2118";9;6;5;0;0;0;0;0;0;0;-0,0539643800333053;0,0663801357357847;0,750783178955317;19
