"";"sp_01";"sp_02";"sp_03";"sp_04";"sp_05";"sp_06";"sp_07";"sp_08";"sp_09";"sp_10";"sp_11";"sp_12";"sp_13";"sp_14";"sp_15";"sp_16";"sp_17";"sp_18";"sp_19";"sp_20";"enviro";"enviro2";"env";"site"
"21";1;2;13;14;0;3;3;2;0;0;0;1;0;1;0;0;0;0;0;0;-0,0378509084441361;0,0188941547224424;14,2180654918775;1
"211";0;0;0;0;0;3;1;3;6;5;5;1;4;2;2;3;2;0;2;1;0,0127948072950482;-0,0314773315261358;60,7848624233156;2
"212";0;1;21;17;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;-0,039021839480603;0,0222649329502759;13,141439226456;3
"213";0;0;0;1;1;6;10;3;4;2;6;2;3;1;0;0;0;1;0;0;-0,0105292741800839;-0,0314509807305423;39,3392623402178;4
"214";0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;20;0;17;0;0,0441857519161775;0,0309401271533321;89,6476343739778;5
"215";1;3;8;5;1;4;1;1;7;2;2;3;0;1;0;1;0;0;0;0;-0,01788416282836;-0,0232380479696449;32,5767237693071;6
"216";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;17;1;18;1;0,0552195211298349;0,0699005511785866;99,7927627991885;7
"217";0;2;6;5;2;3;2;1;7;8;1;2;1;0;0;0;0;0;0;0;-0,0126986749225908;-0,0294375360628037;37,3445814009756;8
"218";3;4;5;8;2;3;4;3;1;1;3;2;0;1;0;0;0;0;0;0;-0,0262871725929681;-0,00903995375229781;24,8504779534414;9
"219";0;0;19;19;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,042723362483638;0,033576365285324;9,73803051747382;10
"2110";0;2;20;16;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0479611287552791;0,0512848966643651;4,92210492957383;11
"2111";0;0;0;0;0;0;0;0;2;0;1;0;1;1;0;2;16;2;15;0;0,0307251923509098;-0,00460068011244537;77,2711651166901;12
"2112";0;0;1;2;1;2;4;5;4;7;2;2;1;4;1;4;0;0;0;0;-0,00294591730077294;-0,0357999305291496;46,3118687039241;13
"2113";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;16;0;22;1;0,0469655611125522;0,039921386010852;92,2035625204444;14
"2114";2;2;15;8;0;1;3;3;2;3;1;0;0;0;0;0;0;0;0;0;-0,0258657447001073;-0,00987432458558683;25,237964768894;15
"2115";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;17;3;17;2;0,0406412075133347;0,0203032066324054;86,388561478816;16
"2116";0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;2;14;2;17;2;0,0491414093673199;0,0473433905212714;94,2041717004031;17
