"";"sp_01";"sp_02";"sp_03";"sp_04";"sp_05";"sp_06";"sp_07";"sp_08";"sp_09";"sp_10";"sp_11";"sp_12";"sp_13";"sp_14";"sp_15";"sp_16";"sp_17";"sp_18";"sp_19";"sp_20";"enviro";"enviro2";"env";"site"
"21";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;21;17;0;0,0420750435513332;0,02746640965;88,8280764454976;1
"211";0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;17;18;1;0,0443843088814093;0,0346267760433205;90,9230600111187;2
"212";0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;3;14;16;2;0,0404951130018545;0,0227882091224559;87,3947510961443;3
"213";0;0;0;0;0;16;2;5;15;1;0;0;0;0;0;0;1;0;0;0;-0,0205454306865934;-0,0206582247840582;32,0182925323024;4
"214";5;1;0;3;1;18;2;0;9;1;0;0;0;0;0;0;0;0;0;0;-0,0429093359236288;0,0304214970282215;11,729582818225;5
"215";1;1;2;3;0;19;0;1;11;2;0;0;0;0;0;0;0;0;0;0;-0,0392790831379738;0,0196871456651857;15,0229765335098;6
"216";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;18;19;0;0,0451505051677389;0,0370871693030364;91,6181592736393;7
"217";0;3;2;2;0;10;2;1;14;1;1;2;0;1;1;0;0;0;0;0;-0,0169623767466285;-0,0255026613416235;35,2688670856878;8
"218";0;2;2;2;0;16;1;1;11;0;2;1;0;1;0;1;0;0;0;0;-0,0250124509344995;-0,013326994480248;27,965776831843;9
"219";0;0;0;0;0;0;1;0;0;1;0;4;15;17;2;0;0;0;0;0;0,0142854490034666;-0,0286573604823874;63,6171389603987;10
"2110";0;0;1;0;0;3;1;4;4;2;2;1;11;7;3;0;1;0;0;0;0,00584215234809066;-0,0347209493332223;55,9573142090812;11
"2111";0;0;0;0;0;0;1;0;0;1;0;1;14;16;1;0;2;1;3;0;0,0226820963421173;-0,0175483864435991;71,234643086791;12
"2112";0;0;0;0;2;0;0;1;1;2;2;3;13;12;2;1;1;0;0;0;0,00984130314253675;-0,0324873206374642;59,5853750826791;13
"2113";5;1;5;5;2;11;0;3;5;1;0;1;0;0;0;0;1;0;0;0;-0,0441437780851133;0,0342873374967171;10,6096872361377;14
"2114";6;1;0;8;4;12;3;2;3;1;0;0;0;0;0;0;0;0;0;0;-0,0433422163043017;0,0317646636353569;11,3368703518063;15
"2115";14;0;0;19;1;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-0,047675546025631;0,0459522243065626;7,40563974250108;16
